Tabela,Data,Kurs średni,Zmiana
228/A/NBP/2022,2022-11-25,4.5111,0.02
227/A/NBP/2022,2022-11-24,4.5101,-0.83
226/A/NBP/2022,2022-11-23,4.548,-0.79
225/A/NBP/2022,2022-11-22,4.5844,-0.32
224/A/NBP/2022,2022-11-21,4.5991,1.44
223/A/NBP/2022,2022-11-18,4.5337,-0.11
222/A/NBP/2022,2022-11-17,4.5387,0.75
221/A/NBP/2022,2022-11-16,4.505,-0.21
220/A/NBP/2022,2022-11-15,4.5143,-0.53
219/A/NBP/2022,2022-11-14,4.5383,-4.11
218/A/NBP/2022,2022-11-10,4.7328,1.09
217/A/NBP/2022,2022-11-09,4.6817,-0.16
216/A/NBP/2022,2022-11-08,4.6893,-0.07
215/A/NBP/2022,2022-11-07,4.6926,-2.19
214/A/NBP/2022,2022-11-04,4.7975,-0.65
213/A/NBP/2022,2022-11-03,4.8291,1.7
212/A/NBP/2022,2022-11-02,4.7485,0.31
211/A/NBP/2022,2022-10-31,4.734,-0.29
210/A/NBP/2022,2022-10-28,4.7477,0.55
209/A/NBP/2022,2022-10-27,4.7216,-0.68
208/A/NBP/2022,2022-10-26,4.7538,-1.98
207/A/NBP/2022,2022-10-25,4.8499,-0.35
206/A/NBP/2022,2022-10-24,4.8669,-0.68
205/A/NBP/2022,2022-10-21,4.9,-0.05
204/A/NBP/2022,2022-10-20,4.9024,0.27
203/A/NBP/2022,2022-10-19,4.8892,-0.08
202/A/NBP/2022,2022-10-18,4.8929,-1.2
201/A/NBP/2022,2022-10-17,4.9522,-0.09
200/A/NBP/2022,2022-10-14,4.9569,-0.67
199/A/NBP/2022,2022-10-13,4.9905,-0.22
198/A/NBP/2022,2022-10-12,5.0014,-0.31
197/A/NBP/2022,2022-10-11,5.0171,-0.14
196/A/NBP/2022,2022-10-10,5.0239,1.31
195/A/NBP/2022,2022-10-07,4.9588,1.22
194/A/NBP/2022,2022-10-06,4.8989,1.26
193/A/NBP/2022,2022-10-05,4.838,-0.48
192/A/NBP/2022,2022-10-04,4.8615,-1.2
191/A/NBP/2022,2022-10-03,4.9207,-0.66
190/A/NBP/2022,2022-09-30,4.9533,-1.58
189/A/NBP/2022,2022-09-29,5.0328,-0.11
188/A/NBP/2022,2022-09-28,5.0381,1.83
187/A/NBP/2022,2022-09-27,4.9476,0.74
186/A/NBP/2022,2022-09-26,4.9113,0.65
185/A/NBP/2022,2022-09-23,4.8796,0.94
184/A/NBP/2022,2022-09-22,4.8343,0.88
183/A/NBP/2022,2022-09-21,4.7919,1.7
182/A/NBP/2022,2022-09-20,4.7118,-0.29
181/A/NBP/2022,2022-09-19,4.7255,-0.27
180/A/NBP/2022,2022-09-16,4.7384,0.39
179/A/NBP/2022,2022-09-15,4.7202,-0.07
178/A/NBP/2022,2022-09-14,4.7233,1.88
177/A/NBP/2022,2022-09-13,4.6363,0.3
176/A/NBP/2022,2022-09-12,4.6225,-0.8
175/A/NBP/2022,2022-09-09,4.6599,-1.42
174/A/NBP/2022,2022-09-08,4.7268,-0.66
173/A/NBP/2022,2022-09-07,4.7584,0.46
172/A/NBP/2022,2022-09-06,4.7367,-0.68
171/A/NBP/2022,2022-09-05,4.769,0.88
170/A/NBP/2022,2022-09-02,4.7276,0.68
169/A/NBP/2022,2022-09-01,4.6959,-0.85
168/A/NBP/2022,2022-08-31,4.736,0.32
167/A/NBP/2022,2022-08-30,4.721,-1.28
166/A/NBP/2022,2022-08-29,4.7821,0.75
165/A/NBP/2022,2022-08-26,4.7465,-0.17
164/A/NBP/2022,2022-08-25,4.7546,-1.01
163/A/NBP/2022,2022-08-24,4.8029,0
162/A/NBP/2022,2022-08-23,4.803,1.27
161/A/NBP/2022,2022-08-22,4.7427,0.78
160/A/NBP/2022,2022-08-19,4.7061,1.28
159/A/NBP/2022,2022-08-18,4.6468,0.76
158/A/NBP/2022,2022-08-17,4.6119,-0.35
157/A/NBP/2022,2022-08-16,4.6282,1.81
156/A/NBP/2022,2022-08-12,4.5459,0.56
155/A/NBP/2022,2022-08-11,4.5206,-1.96
154/A/NBP/2022,2022-08-10,4.6112,0.42
153/A/NBP/2022,2022-08-09,4.5919,-0.45
152/A/NBP/2022,2022-08-08,4.6127,0.22
151/A/NBP/2022,2022-08-05,4.6024,-0.68
150/A/NBP/2022,2022-08-04,4.634,0.38
149/A/NBP/2022,2022-08-03,4.6164,0.39
148/A/NBP/2022,2022-08-02,4.5984,-0.66
147/A/NBP/2022,2022-08-01,4.629,-0.16
146/A/NBP/2022,2022-07-29,4.6365,-1.25
145/A/NBP/2022,2022-07-28,4.6952,-0.4
144/A/NBP/2022,2022-07-27,4.7142,1.99
143/A/NBP/2022,2022-07-26,4.6222,0.11
142/A/NBP/2022,2022-07-25,4.6171,-1.6
141/A/NBP/2022,2022-07-22,4.692,0.51
140/A/NBP/2022,2022-07-21,4.6682,0.34
139/A/NBP/2022,2022-07-20,4.6524,-0.15
138/A/NBP/2022,2022-07-19,4.6594,-1.18
137/A/NBP/2022,2022-07-18,4.7152,-1.7
136/A/NBP/2022,2022-07-15,4.7966,-0.64
135/A/NBP/2022,2022-07-14,4.8274,0.11
134/A/NBP/2022,2022-07-13,4.8221,-0.13
133/A/NBP/2022,2022-07-12,4.8284,1.83
132/A/NBP/2022,2022-07-11,4.7416,0
131/A/NBP/2022,2022-07-08,4.7417,0.83
130/A/NBP/2022,2022-07-07,4.7029,0.5
129/A/NBP/2022,2022-07-06,4.6796,1.85
128/A/NBP/2022,2022-07-05,4.5947,2.03
127/A/NBP/2022,2022-07-04,4.5032,-0.16
126/A/NBP/2022,2022-07-01,4.5106,0.63
125/A/NBP/2022,2022-06-30,4.4825,0.66
124/A/NBP/2022,2022-06-29,4.4533,0.35
123/A/NBP/2022,2022-06-28,4.4377,0.02
122/A/NBP/2022,2022-06-27,4.4369,-0.64
121/A/NBP/2022,2022-06-24,4.4656,-0.5
120/A/NBP/2022,2022-06-23,4.4881,1.22
119/A/NBP/2022,2022-06-22,4.4338,0.96
118/A/NBP/2022,2022-06-21,4.3917,-1.09
117/A/NBP/2022,2022-06-20,4.44,-0.52
116/A/NBP/2022,2022-06-17,4.463,0.39
115/A/NBP/2022,2022-06-15,4.4455,-0.05
114/A/NBP/2022,2022-06-14,4.4478,0.61
113/A/NBP/2022,2022-06-13,4.4209,1.95
112/A/NBP/2022,2022-06-10,4.3363,1.4
111/A/NBP/2022,2022-06-09,4.2764,-0.33
110/A/NBP/2022,2022-06-08,4.2904,-0.07
109/A/NBP/2022,2022-06-07,4.2935,0.61
108/A/NBP/2022,2022-06-06,4.2675,-0.03
107/A/NBP/2022,2022-06-03,4.2689,-0.56
106/A/NBP/2022,2022-06-02,4.2931,0.27
105/A/NBP/2022,2022-06-01,4.2817,0.39
104/A/NBP/2022,2022-05-31,4.2651,0.08
103/A/NBP/2022,2022-05-30,4.2617,-0.81
102/A/NBP/2022,2022-05-27,4.2966,-0.52
101/A/NBP/2022,2022-05-26,4.3189,0.28
100/A/NBP/2022,2022-05-25,4.3069,0
99/A/NBP/2022,2022-05-24,4.3071,-0.69
98/A/NBP/2022,2022-05-23,4.3369,-1.06
97/A/NBP/2022,2022-05-20,4.3832,-0.9
96/A/NBP/2022,2022-05-19,4.4231,-0.11
95/A/NBP/2022,2022-05-18,4.4279,-0.23
94/A/NBP/2022,2022-05-17,4.4379,-0.91
